CUST00001,Metro Wholesale,Dedicated,60,General,Inactive,2020-02-20,985117.00
CUST00002,National Retail,Contract,30,Retail,Active,2021-06-02,4936566.00
CUST00003,XYZ Industries,Contract,30,Consumer Goods,Active,2020-09-04,3102814.00
CUST00004,American Corp,Contract,15,Food/Beverage,Active,2020-11-29,3948027.00
CUST00005,American Distribution,Spot,45,Consumer Goods,Active,2020-02-04,3682564.00
CUST00006,American Industries,Dedicated,30,Consumer Goods,Active,2021-02-16,973274.00
CUST00007,Superior Distribution,Spot,30,Food/Beverage,Active,2021-02-05,1499297.00
CUST00008,American Logistics,Contract,30,Automotive,Inactive,2021-07-23,1613275.00
CUST00009,XYZ Wholesale,Contract,30,Retail,Inactive,2020-03-28,4713444.00
CUST00010,National Logistics,Dedicated,45,Automotive,Active,2021-11-19,3468505.00
