EVT00000001,LOAD00000001,TRIP00000001,Pickup,FAC00034,2022-01-01 18:00:00.000,2022-01-01 20:58:55.917,0,0,Houston,TX
EVT00000002,LOAD00000001,TRIP00000001,Delivery,FAC00046,2022-01-02 23:10:55.917,2022-01-02 21:30:22.143,230,1,Detroit,MI
EVT00000003,LOAD00000002,TRIP00000002,Pickup,FAC00015,2022-01-01 18:00:00.000,2022-01-01 17:37:26.607,62,1,Kansas City,MO
EVT00000004,LOAD00000002,TRIP00000002,Delivery,FAC00050,2022-01-02 02:13:26.607,2022-01-02 05:55:46.237,67,0,Indianapolis,IN
EVT00000005,LOAD00000003,TRIP00000003,Pickup,FAC00001,2022-01-01 08:00:00.000,2022-01-01 07:28:02.170,83,1,Columbus,OH
EVT00000006,LOAD00000003,TRIP00000003,Delivery,FAC00022,2022-01-03 04:28:02.170,2022-01-03 03:05:02.833,11,1,Portland,OR
EVT00000007,LOAD00000004,TRIP00000004,Pickup,FAC00029,2022-01-01 17:00:00.000,2022-01-01 19:32:56.020,50,0,Phoenix,AZ
EVT00000008,LOAD00000004,TRIP00000004,Delivery,FAC00037,2022-01-02 06:38:56.020,2022-01-02 08:41:06.713,142,0,Denver,CO
EVT00000009,LOAD00000005,TRIP00000005,Pickup,FAC00046,2022-01-01 08:00:00.000,2022-01-01 11:51:35.543,73,0,Houston,TX
EVT00000010,LOAD00000005,TRIP00000005,Delivery,FAC00050,2022-01-02 22:51:35.543,2022-01-02 22:23:50.187,236,1,Seattle,WA
