FUEL00000001,TRIP00051284,TRK00045,DRV00102,2023-10-22,Columbus,MN,131.60,3.40,447.31,FC567161
FUEL00000002,TRIP00073723,TRK00013,DRV_UNKNOWN,2024-08-04,New York,AZ,139.90,3.18,444.88,FC717910
FUEL00000003,TRIP00018286,TRK00024,DRV00142,2022-08-23,Seattle,NE,189.30,3.80,720.10,FC912816
FUEL00000004,TRIP00008465,TRK00018,DRV00047,2022-04-20,Memphis,NY,130.70,3.58,467.78,FC776357
FUEL00000005,TRIP00069700,TRK00054,DRV_UNKNOWN,2024-06-13,Columbus,AZ,185.30,3.42,634.10,FC391024
FUEL00000006,TRIP00062650,TRK00012,DRV00104,2024-03-18,Dallas,NY,182.20,3.49,636.61,FC277504
FUEL00000007,TRIP00000851,TRK00072,DRV00127,2022-01-11,Miami,TX,146.30,3.91,572.62,FC256663
FUEL00000008,TRIP00012033,TRK00073,DRV00084,2022-06-06,Phoenix,PA,113.30,4.47,506.56,FC543608
FUEL00000009,TRIP00023596,TRK00101,DRV00080,2022-10-28,Miami,NC,127.00,4.45,564.51,FC484857
FUEL00000010,TRIP00037859,TRK00085,DRV00002,2023-04-30,Dallas,MO,134.70,3.36,452.19,FC753360
