MAINT00000001,TRK00085,2022-01-01,Inspection,400255.00,7.80,781.42,10.41,791.83,Kansas City,22.20,Emergency Inspection
MAINT00000002,TRK00041,2022-01-01,Tire,268041.00,0.90,80.91,3207.16,3288.07,Seattle,8.00,Scheduled Tire
MAINT00000003,TRK00090,2022-01-01,Preventive,698915.00,7.20,733.18,1570.57,2303.75,Miami,16.50,Routine Preventive
MAINT00000004,TRK00056,2022-01-02,Inspection,416522.00,2.80,298.80,67.48,366.28,Kansas City,34.60,Emergency Inspection
MAINT00000005,TRK00029,2022-01-02,Repair,179968.00,4.60,409.08,982.59,1391.67,Omaha,4.40,Emergency Repair
MAINT00000006,TRK00120,2022-01-02,Preventive,680507.00,5.00,498.12,3029.54,3527.66,Omaha,43.50,Scheduled Preventive
MAINT00000007,TRK00017,2022-01-02,Repair,599078.00,0.90,83.38,1098.90,1182.28,Denver,34.80,Emergency Repair
MAINT00000008,TRK00038,2022-01-03,Tire,605379.00,7.10,785.79,1483.25,2269.04,Miami,3.90,Scheduled Tire
MAINT00000009,TRK00054,2022-01-03,Inspection,232147.00,4.00,371.51,143.21,514.72,Dallas,14.00,Routine Inspection
MAINT00000010,TRK00076,2022-01-03,Inspection,222428.00,0.60,74.65,14.12,88.77,Columbus,23.00,Emergency Inspection
