TRA_UNKNOWN,UNT-000,NULL,NULL,NULL,VIN-000,2000-01-01,NULL,NULL
TRL00001,4290,Refrigerated,53.00,2016,1AV889081755621178,2018-05-11,Active,Kansas City
TRL00002,8848,Dry Van,53.00,2018,1BU942062588832828,2018-11-24,Active,Kansas City
TRL00003,6147,Dry Van,53.00,2022,1AV669057807416326,2019-01-28,Active,Milwaukee
TRL00004,3910,Dry Van,53.00,2024,1AV544000060905105,2018-08-27,Active,New York
TRL00005,7524,Dry Van,53.00,2016,1AV170126369813275,2019-11-22,Active,Las Vegas
TRL00006,6228,Refrigerated,53.00,2023,1BV247166900716104,2020-04-27,Active,Los Angeles
TRL00007,5775,Dry Van,53.00,2015,1AU542428020643035,2016-03-15,Active,Indianapolis
TRL00008,9044,Refrigerated,53.00,2020,1CV458098594511128,2019-04-23,Active,Oklahoma City
TRL00009,4971,Dry Van,53.00,2020,1BU184087873073667,2021-05-14,Active,Kansas City
