TRIP00000001,LOAD00000001,DRV00117,TRK00035,TRL00167,2022-01-01,1314.00,26.20,183.80,7.15,3.50,Completed
TRIP00000002,LOAD00000002,DRV00141,TRK00108,TRL00082,2022-01-01,515.00,8.60,93.60,5.50,8.30,Completed
TRIP00000003,LOAD00000003,DRV00032,TRK00031,TRL00138,2022-01-01,2509.00,45.00,339.10,7.40,12.00,Completed
TRIP00000004,LOAD00000004,DRV00083,TRK00105,TRL00018,2022-01-01,717.00,11.10,110.30,6.50,9.60,Completed
TRIP00000005,LOAD00000005,DRV00044,TRK00076,TRL00054,2022-01-01,2243.00,35.00,328.90,6.82,11.60,Completed
TRIP00000006,LOAD00000006,DRV00120,TRK00062,TRL00007,2022-01-01,1977.00,39.40,358.80,5.51,6.60,Completed
TRIP00000007,LOAD00000007,DRV00055,TRK00002,TRL00093,2022-01-01,1350.00,20.90,230.80,5.85,2.30,Completed
TRIP00000008,LOAD00000008,DRV00065,TRK00035,TRL00148,2022-01-01,2748.00,50.50,437.60,6.28,10.50,Completed
TRIP00000009,LOAD00000009,DRV00129,TRK00014,TRL00083,2022-01-01,3226.00,51.40,465.50,6.93,4.10,Completed
TRIP00000010,LOAD00000010,DRV00029,TRK00116,TRL00126,2022-01-01,3388.00,60.20,460.30,7.36,5.70,Completed
